kotlin/collections: {kotlin/collections, 6173b1762e1d48a3bafa1efbaf57e8d6}
y2: {y2, cb6d0c82f21b11a2dfc31c9c13245fa8}
ja: {ja, 4b2351f9fd0d5d877836c82a936ff46f}
z8: {z8, f691c4c58f00b080ad1a479cb7390850}
n7: {n7, e3612d6c5d8bb60532a412fc55b8638d}
a0: {a0, d8318fe902228cc25b50d287fc42e1a2}
okhttp3/internal/connection: {okhttp3/internal/connection, 565d723c106a0ea600a2d69399e52557}
k7: {k7, 00cb2a68e60f52aa1c57db007bf2f7ac}
p8: {p8, 6d6766ae8f777d2a4a259d1058c731bb}
com/appyvet/materialrangebar: {com/appyvet/materialrangebar, 4d5dd20c3fb962e8727f0c09a92f2726}
androidx/core/content: {androidx/core/content, b6e7ed2614354e6b07de12c54f209042}
j7: {j7, 375f46a4530650fcec60f2963fd30d59}
a7: {a7, c2f09fbc764454c768e9395c949d8f2c}
r8: {r8, 8139e61f8746eb5a8a75489223e2d057}
x5: {x5, dc7ffd7c45b44e02ff4e32b24821885f}
s2: {s2, 4fc38dec3788208a741ead01a9c9bcbc}
androidx/work: {androidx/work, 29f5eacc792f1fb67304881f7698e962}
g7: {g7, d45d57871a08c5ad9eacd870af405ecd}
l0: {l0, 4253339bb3feab60c549f6fe769a2082}
h1: {h1, 9cee6ca0c210521c25818d7a41b26caf}
com/daimajia/androidanimations: {com/daimajia/androidanimations, dbdd81f98c35ec1173fe527395eb0d27}
ub: {ub, c4d1614cb237e23d1ecbb70bbd3be525}
androidx/emoji2/text: {androidx/emoji2/text, 6d37339271ad6c51b8dc70f8e4a7748d}
ob: {ob, 1b963d046348519308be801ce6352651}
l7: {l7, 011df176ba5ae44abc94c17b9d9fd591}
w9: {w9, ed7ee2ed4fd836fefa6e217c2e2ec24a}
m7: {m7, 7782a83680f2538b75a756ec7a65868f}
t9: {t9, dffdcde66d18a92dc6201e74170e607f}
androidx/recyclerview/widget: {androidx/recyclerview/widget, c13abb0bde68f596f39005d3e7789c83}
u5: {u5, 031235063096591f2895997b3076ff60}
androidx/core/widget: {androidx/core/widget, ce43e746125b8fc1c4f7de885e7e8fcb}
c1: {c1, 41238c1563a98488493bd45d64d2b128}
eb: {eb, 1cc0f1b4d754aceda0792922671af9bf}
ra: {ra, 321df3734fb88dddd98b9b6d0ba65ca8}
androidx/preference: {androidx/preference, 89ab6c9193756dc49a097e239f15f9cd}
o0: {o0, 49ac38bc877a6c4e1198d2e89cf68aa5}
b5: {b5, 6a6dd4da8d74a3eee773efec785509ea}
o9: {o9, 02d6136b17953692c6102309f4b9e6ae}
t2: {t2, 83b807f1f8cbc8ef185dba35ef3127a2}
r1: {r1, 2f2abff7242b08694d91fb3541f883b8}
kotlin/random: {kotlin/random, 29e5a4af3af019621880f846c081be58}
y: {y, d536782eb2039a7abbcdec357c7f1764}
d9: {d9, 007089d4200c63a9b54c76735483fd74}
k: {k, c74c5c731a3749a27c3b4a79b654ef8e}
androidx/core/os: {androidx/core/os, f9658b3afd5bc8a8db21168d75f7f4ce}
p3: {p3, f19db743539265098c252911d7106f9f}
e5: {e5, ca55bfb4a7570839e90dccf559634510}
b2: {b2, 349192c824be1ee370921049105fb1ab}
q3: {q3, 38a82706b0bee706c44811713a26c4cf}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 2670cad37039d968c45a11fa00d1f721}
kotlinx/coroutines: {kotlinx/coroutines, 1dc4f5b9930ef5c497197a6db3959173}
